id,session_id
37000968,202240717003788800002
37704114,000018240725100730000784601151
37709161,100004240725110256117172750173
37709361,000016240725120649000083961991
37709410,09FG240725120745751P4M5ZM
37709661,090267240725121229341019345156
37709861,100004240725111536117173942322
37710563,100004240725112719117173902204
37710614,09FG240725122746359QLY725
37710864,100004240725113145117174090302
37711464,000013240725124011000233057765
37711564,09FG240725124115854ETTOGN
37711764,090267240725124459768002637039
37712227,000013240725125212000233092300
37712327,100004240725115332117175110343
37712831,000016240725130106000084321191
37713130,100004240725120613117175975137
37713181,100004240725120653117175982032
37713481,100004240725121149117175297672
37713581,100004240725121333117175314997
37713781,100004240725121627117176345878
37713873,100004240725121756117177119207
37713986,000004240725131858130413489673
37714177,100033240725122226000731850581
37714186,100004240725122232117175406696
37717237,202240725011162400002
37718053,202240725011532500002
37719471,202240725012193600002
37770401,202240726013426700002
37893388,100002240729113720000947508802
37893411,000016240729113738000005424412
37893429,000016240729113747000005425456
37893432,100003240729114108000000313018
37893439,100004240729103758117326155230
37893503,100004240729103850117325795796
37893516,090267240729113858915020368849
37893539,100004240729103915117326168853
37894286,100004240729104714117327020052
37894287,090405240729114706528126553849
37894300,100004240729104720117326767340
37894329,090405240729114753486126870543
37894344,100033240729104801000742335011
37894345,000016240729114802000005489026
37894346,090267240729114803821021981557
37894369,100033240729104818000742335870
37894392,090405240729114836120126431214
37894450,000013240729114937000242620623
37894458,000013240729114942000242620798
37894461,100004240729104942117325911640
37894474,100004240729104949117327297258
37894478,100002240729114948000947516927
37894487,100033240729104949000742340263
37894490,090405240729114955054126457015
37894503,100004240729105003117326796402
37894506,100033240729104959000742340721
37894515,090405240729115007792126183261
37894516,100004240729105008117327300787
37894520,100033240729105006000742341069
38006577,100004240730114947117370190816
38006578,000014240730124948280634592384
38006581,100004240730114950117370191399
38015218,100004240730140112117376937851
38015316,100004240730140252117376956028
38015460,100004240730140449117375956726
38015463,090267240730150445450039066059
38015477,100004240730140502117375958996
38015479,100033240730140501000745726947
38015481,000015240730150504725732006618
38015484,100004240730140515117376728467
38015486,202240730014072400002
38015489,000014240730150506268585803029
38015490,100004240730140520117376475567
38015491,000015240730150508347601018100
38015492,000007240730150616053831022548
38015497,000014240730150506219637003047
38015513,100033240730140518000745727836
38015611,100033240730140710000745733798
38015641,000013240730150737000245871797
38015642,000015240730150729128146010244
38015644,100033240730140734000745734992
38015645,100004240730140740117375987802
38015647,000012240730150735287805112233
38015651,100004240730140743117375988285
38015652,100004240730140743117375988338
38015653,090405240730150743037126550249
38015655,100033240730140743000745735504
38015656,100033240730140745000745735625
38015692,100033240730140828000745737741
38015747,000016240730150918000012531934
38015778,000013240730150957000245879461
38015782,000013240730151006000245879942
38015813,090267240730151044061027266676
38015827,090267240730151107260051440950
38015870,090405240730151209196126975767
38015871,100033240730141202000745748540
38015978,090267240730151423416039066059
38015990,100004240730141439117376831509
38015995,000016240730151438000012567478
38016016,100033240730141506000745757985
38016028,100033240730141522000745758774
38016039,100004240730141537117377094721
38016042,100033240730141541000745759662
38016048,000004240730151638614759017045
38016057,000012240730151607555288018910
38016073,100004240730141624117376596565
38016078,090405240730151632944126845585
38016081,090267240730151629133039066059
38016088,100004240730141637117376598949
38016096,100004240730141705117376090463
38016101,090267240730151708290000749524
38016102,100004240730141705117377110905
38016108,120001240730151708428746084901
38016110,000014240730151712274155761246
38016111,090405240730151720970126633472
38016125,000014240730151730270987066376
38016126,000016240730151725000012586938
38016127,090267240730151728439021981557
38016137,100004240730141744117376611360
38016139,100033240730141747000745766095
38016140,090267240730151748970072047790
38016145,000004240730151842094582580698
38016147,000014240730151753216125868582
38016148,000012240730151753958666540513
38016149,100004240730141756117376867522
38016150,100033240730141757000745766644
38016155,100004240730141805117377121850
38016156,100033240730141808000745767193
38016158,100004240730141803117377121466
38016165,100004240730141821117376872098
38016167,100004240730141820117376104194
38016178,000014240730151836253240873372
38016206,100004240730141906117377132968
38016219,100004240730141932117377137887
38016230,100004240730141949117377141017
38016234,090405240730152008472126207573
38016236,100033240730142004000745773023
38016239,000004240730152006004421443866
38016240,100004240730142009117376124122
38016251,000016240730152016000012606373
38016252,000014240730152020262845682141
38016255,000016240730152021000012607020
38016257,090405240730152027307126133769
38016263,100004240730142032117376128471
38016301,000013240730152137000245915748
38016314,000015240730152141831210026630
38016316,120001240730152145705262754401
38016318,090405240730152150356004637979
38016323,090405240730152210449126454519
38016325,000014240730152205245499691411
38016334,100033240730142217000745780021
38016335,100004240730142223117378193050
38016336,100004240730142223117376148861
38016514,09FG240730152333044QHK9CP
38016527,000012240730152643132166512021
38016539,090405240730152700850126328075
38016542,100004240730142658117377223579
38016544,100004240730142700117377734557
38016545,100004240730142702117378244036
38016551,100004240730142713117377226358
38016552,100004240730142715117377226615
38017002,090267240730153756218019317238
38017793,100004240730145422117378540012
38017797,100004240730145425117378540610
38017805,100004240730145441117378802424
38017811,090405240730155446999126957822
38017819,000010240730145451111228929235
38017822,100004240730145507117378548142
38017823,100004240730145507117378548197
38017848,100004240730145534117378553131
38017855,100004240730145529117378042738
38017859,090405240730155540566126939723
38017890,090267240730155613554058817911
38017896,09FG240730155558801OUHADY
38017901,100004240730145631117378822290
38017902,000013240730155632000246020889
38017903,100004240730145633117378822598
38017904,100004240730145634117378563933
38017914,100004240730145647117377545875
38017916,100004240730145651117378567015
38017921,202240730015379800001
38017925,000015240730155651945045007489
38017926,000014240730155656262464667740
38017928,090267240730155703206036809666
38017949,000016240730155729000012855015
38017953,090267240730155736563058817911
38017964,100033240730145754000745890343
38017969,100004240730145807117378839660
38017976,090405240730155817643126167044
38017980,100033240730145814000745891410
38017982,000016240730155817000012859962
38017985,000017240730155741652426599881
38017990,100004240730145830117377564507
38017993,100004240730145831117378844112
38017998,100033240730145835000745892442
38018000,100004240730145839117377566122
38018007,100004240730145846117377567392
38018038,100033240730145921000745894732
38018045,100004240730145939117378856241
38018057,090267240730155947911005612835
38018062,100033240730145950000745896122
38018066,100004240730150007117378602314
38018073,000013240730160016000246032193
38018076,100004240730150019117378863386
38018084,100004240730150023117378605340
38018112,000014240730160103287827787908
38018131,100033240730150131000745901229
38018132,100004240730150141117378109469
38018142,100004240730150156117378621696
38018151,100004240730150202117377602508
38018155,090405240730160209737126221790
38018162,100004240730150221117378884945
38018169,000004240730160259875813526988
38018172,090405240730160232215126172914
38018203,000013240730160300000246040354
38018208,100004240730150310117378125259
38018220,000015240730160321579443023856
38018223,100004240730150329117378638203
38018224,09FG2407301559539054GSCK9
38018233,000015240730160340479096004659
38018238,000014240730160350247846199801
38018246,000015240730160355266959012775
38018250,090405240730160409298126454548
38018287,100004240730150449117378911254
38018305,100033240730150503000745911944
38018309,090405240730160527670126631377
38018310,090267240730160521924019317238
38018311,000013240730160530000246047908
38018317,090267240730160535183019317238
38018318,100033240730150534000745913453
38018323,100004240730150544117378920949
38018324,100004240730150546117378921407
38018330,202240730015630700001
38018353,090267240730160621442019317238
38018361,000004240730160702426931124377
38018372,100004240730150650117378673859
38018398,090267240730160732387019317238
38018419,100004240730150812117378947263
38018421,100033240730150812000745921527
38018423,100004240730150817117379715565
38018432,100004240730150825117379205975
38018440,100004240730150830117378950515
38018443,100033240730150832000745922569
38018444,000016240730160826000012921754
38018450,100004240730150841117380229238
38018451,100033240730150836000745922752
38018452,100004240730150843117379720028
38018454,100004240730150846117378953283
38018475,100004240730150916117380235322
38018478,100033240730150911000745924485
38018558,100033240730151120000745930953
38018560,090267240730161122158036673612
38018588,100004240730151159117379756091
38018628,100004240730151251117379765429
38018665,100004240730151358117379777617
38018669,100033240730151357000745938583
38018672,100004240730151403117379778410
38018678,000013240730161406000246073237
38018683,100004240730151417117379781010
38018687,100004240730151422117379781828
38018690,100004240730151429117379015916
38018691,09FG240730161046951OUF935
38018693,100004240730151432117379272912
38018696,000014240730161429238075356051
38018698,100004240730151436117379273747
38018702,100004240730151437117379017422
38018705,100033240730151438000745940705
38018706,100033240730151437000745940661
38018710,100004240730151446117379275599
38018713,100004240730151452117379020161
38018738,100004240730151524117379026037
38018742,100004240730151528117379283287
38018749,100004240730151536117380305017
38018751,100004240730151538117379795877
38018752,100033240730151537000745943789
38018757,000010240730151535111131767789
38018765,100004240730151551117380307768
38018768,100004240730151554117380308362
38018778,000013240730161602000246078980
38018781,100004240730151610117379291007
38018817,100019240730161709840428631157
38018849,100033240730151723000745949240
38018921,090267240730161902618019317238
38018941,100004240730151931117380349059
38018945,000016240730161928000012994749
38018955,100004240730151945117380351521
38018962,100033240730152001000745957231
38018967,100004240730151957117380353893
38019017,000013240730162137000246095746
38019032,000004240730162147421173654647
38019033,100033240730152200000745963388
38019656,09FG2407301635115715LNIP7
38019659,100004240730153630117379520859
38019663,100004240730153625117380540708
38019695,09FG2407301637169806J2R56
38019705,100033240730153734000746012018
38019707,090267240730163734516036809666
38019712,09FG2407301636130215O8G9J
38019764,09FG24073016390326055S4ZH
38019765,090267240730163835365101107553
38019776,000007240730163955144082899763
38019785,100033240730153906000746016912
38019787,100004240730153909117380062473
38020335,100002240730165143000948384302
38020391,100004240730155258117380991475
38020393,100004240730155303117379711825
38020402,100004240730155315117381762844
38020404,100033240730155317000746062030
38020408,100004240730155323117380735903
38020412,100004240730155327117381251788
38020414,100033240730155326000746062528
38020433,100004240730155335117381253452
38050087,090267240731100932371047538593
38050271,090405240731101244822126047745
38051513,100033240731093219000747717189
